"bldg","y","defects","poor","race.x","floor","dist","borough","numunits","stories","race.y","personrm","housewgt","sequenceno","under6","cd","unitflr2","regext","totincom2","subsidy","housing","poverty","povertyx2","extwin4_2","extflr5_2","intcrack2","inthole2","intpeel_cat","intleak2","duration","board2","struct","old","help","rodent2","foreign","dilap","black_Mean","board2_Mean","foreign_Mean","help_Mean","hispanic_Mean","old_Mean","poverty_Mean","povertyx2_Mean","pubhous_Mean","regext_Mean","struct_Mean","dilap_Mean","ownhous_Mean","duration_Mean","extwin4_2_Mean","extflr5_2_Mean","intcrack2_Mean","inthole2_Mean","intleak2_Mean","vacrate"
33,1,5,5,3,5,1,1,10,4,3,0.25,15.13553,998787,1,1,5,0,6588,0,4,1,1,0,1,1,1,0,1,42,1,0,1,1,1,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
35,1,5,4,3,6,1,1,10,4,3,0.33,189.67769,174734,1,1,6,NA,15000,0,2,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
35,1,5,4,3,6,1,1,10,4,2,1.67,172.33043,772162,1,1,5,0,3808,NA,2,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
35,1,3,6,2,5,1,1,10,4,3,0.33,189.67769,174734,1,1,6,NA,15000,0,2,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
35,1,3,6,2,5,1,1,10,4,2,1.67,172.33043,772162,1,1,5,0,3808,NA,2,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
39,1,1.16363636363636,5,4,6,1,1,8,4,4,0.4,15.51273,7343,1,1,6,0,13000,1,2,0,1,0,0,0,NA,0,0,20,0,0,1,1,1,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
46,1,5.06837606837607,6,2,4,1,1,10,5,2,0.33,171.66205,500716,1,1,4,NA,8700,0,1,1,1,0,NA,1,1,1,1,13,0,0,0,0,1,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
48,0,0,5,3,3,1,1,9,4,3,1,178.84964,463351,2,1,3,1,19000,1,2,0,1,0,0,0,0,0,0,4,0,1,1,1,0,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
52,0,0,5,2,8,1,1,12,6,2,0.33,226.18077,214547,1,1,8,1,15001,0,1,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
52,0,0,5,2,8,1,1,12,6,4,0.83,186.57207,211966,1,1,8,0,14432,1,1,1,1,0,0,1,1,2,0,5,0,0,0,NA,1,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
